# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.0533738929710648,0.5521886578214964,13.342319782957293,0,3.0,-0.13187171816520882,180.0,0.0,-0.06507303894673952
 0.10872457388452463,2.0706268446388827,0.5562805405947476,13.342319782957293,0.3261737216535739,3.0,-0.13187171816520882,179.99292496156914,-2.975238899308878,-0.47141412725385134
 0.15374655526978137,2.08788338271491,0.5603306843032394,13.208368632615915,0.4612396658093441,2.9999999999999996,-0.13101546478851517,179.97170096350717,-3.8519026849397906,-1.0240856905614941
 0.18828429610897393,2.1051434377376226,0.5643393923841601,13.075332615945676,0.5648528883269217,2.999999999999998,-0.13015555576998006,179.93633135732944,-4.538689384701585,-1.7008128920965437
 0.21739368800787204,2.1224069402454946,0.5683069682746973,12.94321412793903,0.652181064023616,2.9999999999999982,-0.12929207380137753,179.8868217283067,-5.117028731022093,-2.482168530908478
 0.24303329826432418,2.1396738207770007,0.572233715412039,12.812015505604553,0.7290998947929724,3.000000000000001,-0.12842510047032368,179.82317989458338,-5.621566596867114,-3.355597661853621
 0.26620770606792704,2.156944009870617,0.5761199372333736,12.681739028793643,0.7986231182037811,3.000000000000002,-0.12755471611256305,179.74541590594276,-6.071148645616362,-4.312105098139024
 0.2875137414338762,2.1742174380648183,0.5799659371758885,12.552386921038206,0.8625412243016286,3.0000000000000027,-0.12668100025133178,179.65354204222012,-6.477446801134532,-5.344808296535164
 0.30734031424570407,2.1914940358980792,0.5837720186767722,12.423961350400772,0.9220209427371123,3.0000000000000058,-0.1258040310217515,179.5475728113636,-6.848311729305932,-6.448196521431466
 0.3259575917777219,2.2087737339088753,0.5875384851732123,12.296464430310511,0.9778727753331657,3.0,-0.12492388549266165,179.42752494714313,-7.189337523151553,-7.617707561336504
 0.343562302847966,2.2260564626356807,0.5912656401023968,12.169898220428964,1.0306869085438983,3.0000000000000093,-0.12404063972106902,179.29341740650818,-7.504684842906492,-8.849466128301465
 0.36030297824763086,2.2433421526169726,0.5949537869015138,12.044264727497081,1.0809089347428928,3.0,-0.12315436840160286,179.14527136659396,-7.797552618431908,-10.140112387552795
 0.37629502439254353,2.260630734391223,0.5986032290077511,11.919565906205733,1.128885073177631,3.000000000000007,-0.1222651451992319,178.98311022137761,-8.07046641091157,-11.486684307457537
 0.39163022806654935,2.277922138496909,0.602214269858297,11.795803660050181,1.1748906841996483,2.9999999999999893,-0.12137304251796498,178.80695957798375,-8.3254638716211,-12.88653393089332
 0.4063830177897018,2.2952162954725046,0.6057872128903389,11.672979842204454,1.2191490533691056,2.9999999999999964,-0.12047813171902054,178.616847252641,-8.564219016959044,-14.337265978546688
 0.42061473997836507,2.312513135856486,0.6093223615410653,11.551096256392224,1.2618442199350954,3.000000000000004,-0.11958048267525255,178.41280326628936,-8.788128376081382,-15.836691691800867
 0.43437666896524796,2.3298125901873274,0.6128200192476639,11.430154657752981,1.303130006895744,3.0,-0.11868016445263731,178.19485983983964,-8.998372434818242,-17.38279339363103
 0.44771218101472293,2.347114589003504,0.6162804894473228,11.3101567537228,1.343136543044169,3.000000000000004,-0.11777724465366417,177.96305138908534,-9.1959605420702,-18.973696783253548
 0.4606583597495954,2.3644190628434907,0.61970407557723,11.191104204906326,1.3819750792487864,2.9999999999999916,-0.11687178972303773,177.71741451926806,-9.381764425431069,-20.607648936077336
 0.4732472048321053,2.3817259422457635,0.6230910810745732,11.072998625953971,1.419741614496316,2.999999999999991,-0.11596386483313845,177.45798801929703,-9.556543669414816,-22.283000594308046
 0.4855065575398716,2.399035157748796,0.6264418093765406,10.955841586443443,1.4565196726196148,2.9999999999999956,-0.11505353411623385,177.18481285562405,-9.7209654005522,-23.99819173950367
 0.4974608203011654,2.4163466398910636,0.6297565639203201,10.839634611751796,1.4923824609034961,2.9999999999999956,-0.11414086028743313,176.8979321657741,-9.87561971423953,-25.751739713330426
 0.5091315236239692,2.433660319211042,0.6330356481430996,10.724379183938076,1.5273945708719077,3.000000000000014,-0.11322590496514148,176.59739125153376,-10.021031922781798,-27.5422293436064
 0.5205377782091389,2.4509761262472063,0.6362793654820672,10.610076742620713,1.561613334627417,3.0000000000000098,-0.11230872846642488,176.28323757179746,-10.157672391360393,-29.368304667382624
 0.531696639452107,2.468293991538031,0.6394880193744108,10.496728685853993,1.5950899183563212,3.0,-0.111389389911082,175.95552073507292,-10.285964519870346,-31.228661939713803
 0.5426234042326152,2.485613845621991,0.6426619132573184,10.384336371004718,1.627870212697846,3.0,-0.11046794714759597,175.61429249164766,-10.406291281878202,-33.12204368787668
 0.553331854761001,2.5029356190375616,0.6458013505679779,10.272901115628752,1.659995564283003,2.99999999999999,-0.10954445681471726,175.259606725417,-10.5190006284451,-35.04723362320309
 0.5638344605871624,2.520259242323218,0.6489066347435773,10.16242419834305,1.6915033817614873,3.0000000000000107,-0.108618974406788,174.8915194453751,-10.624409988297524,-37.00305226223923
 0.5741425472255675,2.537584646017435,0.6519780692213046,10.052906859701743,1.7224276416767028,3.0000000000000218,-0.10769155401169564,174.51008877677052,-10.72281004488188,-38.98835313906534
 0.584266437902234,2.554911760658688,0.6550159574383477,9.944350303060697,1.7527993137067024,3.0,-0.10676224860759656,174.11537495192735,-10.814467924787937,-41.00201951365567
